from_stop_id,to_stop_id,transfer_type,min_transfer_time
2533,2312,2,106
5018392,1953,2,198
3812919,1964,2,230
3807562,1957,2,207
1735,5221739,2,225
2230,4036987,2,268
2219,5289096,2,200
2159,3764634,2,261
1975,5289159,2,247
3807562,2212,2,207
2159,3764632,2,277
3812918,2219,2,230
2374,5289163,2,203
1964,4037196,2,208
1964,4037197,2,198
1964,4037198,2,242
3764710,1824,2,228
1964,4037199,2,248
3754200,2185,2,237
5682058,2472,2,215
4996994,1953,2,200
5688899,2033,2,232
1655,1883,2,180
4037251,2363,2,252
1953,4036861,2,198
2212,5657323,2,198
1953,4036862,2,246
2230,4439623,2,247
1957,3749738,2,281
3812967,1964,2,243
1824,3687412,2,252
5018395,2487,2,246
1824,3687413,2,216
2312,3813107,2,226
1824,3687411,2,252
5018390,2487,2,270
1824,3687414,2,288
1824,3687415,2,280
2363,3764995,2,221
5688898,2535,2,245
2363,3764994,2,190
1855,1967,2,150
2185,1997,2,101
3741063,1655,2,200
4726739,1964,2,243
5709979,2219,2,243
2219,3687469,2,241
1729,3893395,2,201
1729,3893394,2,215
2466,3687422,2,285
5682060,1964,2,238
4473153,1735,2,208
2472,4037041,2,215
2413,3764855,2,225
4028973,5138055,2,206
1828,4036920,2,278
1645,4036881,2,247
3747906,2212,2,207
1645,4036882,2,187
2413,3764854,2,225
2040,5138200,2,261
1733,5289154,2,197
1953,3740294,2,187
4997012,2212,2,243
3747908,2208,2,200
3812975,1824,2,190
4472871,2208,2,196
4726740,2219,2,256
3807583,1721,2,206
1733,3687420,2,197
2502,4472991,2,192
5710037,1964,2,243
1957,3764651,2,257
1733,3687421,2,221
1957,3764652,2,243
2363,5121381,2,235
4037253,1692,2,191
1735,3764675,2,96
2363,5121382,2,235
2502,4472996,2,191
2363,5121383,2,265
5709978,2219,2,218
2363,5289149,2,225
2212,3666671,2,243
2420,4016537,2,279
1964,3687302,2,234
3343776,1677,2,180
1953,3666562,2,203
4473148,1824,2,225
5709975,2472,2,202
2374,4036931,2,203
2487,4036981,2,246
2420,4016536,2,279
3807630,2487,2,270
2208,3666672,2,198
2208,4035731,2,193
2208,3666673,2,203
2208,4035730,2,193
1934,3747824,2,224
2213,2212,2,145
3754274,2040,2,261
4037786,2219,2,198
4037295,2442,2,279
2230,3764813,2,268
2212,3740297,2,282
1964,3764615,2,252
1655,5770810,2,267
1964,3764616,2,199
2061,4036934,2,229
1964,3764617,2,216
1996,4472998,2,212
4036296,2219,2,237
3749790,1957,2,281
2363,4037000,2,280
2219,3695557,2,278
2208,4211806,2,193
2363,5121372,2,226
2363,4037001,2,288
2208,4211807,2,193
2363,5121373,2,254
2363,5121374,2,222
1845,5289157,2,145
2363,4037004,2,225
2363,4037002,2,251
2442,5289152,2,232
2363,4037003,2,254
2219,3926389,2,275
2466,3926198,2,260
2219,3926387,2,242
1721,4037038,2,285
2219,3926388,2,278
1655,5770811,2,250
2466,3926197,2,206
1957,3764604,2,257
1957,3764605,2,207
2487,4036932,2,270
1957,3749677,2,198
5688891,2420,2,191
1957,3749676,2,207
1957,3749675,2,232
1957,3764606,2,243
3813038,2363,2,238
2472,4770179,2,215
3764793,2413,2,96
2363,5289109,2,254
2363,5289108,2,251
2420,4211794,2,206
2159,5121399,2,261
2363,5289107,2,280
1975,3764662,2,268
2159,5121397,2,197
2420,4211793,2,204
2159,5121396,2,195
2219,4459253,2,208
1692,3442430,2,192
2219,4459252,2,242
1824,3926246,2,251
1692,3442431,2,191
2219,2221,2,262
2219,2220,2,600
2033,4036855,2,214
2033,4036854,2,232
1645,5138191,2,188
2159,4651122,2,261
3730327,2413,2,206
1645,5138190,2,261
2442,3687417,2,279
2411,3813063,2,220
1845,3442423,2,198
1845,3442422,2,176
2230,4651133,2,247
1845,3748098,2,226
5710060,2420,2,206
2411,3813062,2,229
2472,4770186,2,202
3764696,2040,2,261
5761983,2212,2,198
1824,2366,2,343
2442,3687416,2,232
4028974,3449469,2,221
3807584,2411,2,220
3813039,1824,2,213
4028974,3442548,2,207
2363,4726761,2,238
1975,5289097,2,268
4028974,3442547,2,206
2363,4726762,2,251
2363,4726763,2,254
5018391,2153,2,206
1735,4472979,2,26
1968,2322,2,120
4037293,2411,2,221
2110,4036856,2,212
1824,3887780,2,223
1824,2364,2,368
4726709,1721,2,206
1824,2365,2,108
2413,3813518,2,201
5137967,2413,2,208
1957,3666771,2,243
3764758,2363,2,223
1824,3887779,2,288
2413,3813519,2,93
1975,3764644,2,247
4037292,1721,2,260
1824,3887778,2,280
1668,4211795,2,206
1828,5138049,2,190
1735,4472978,2,54
1668,4211796,2,262
3765207,1845,2,145
3764793,1735,2,96
4037296,1824,2,280
4028974,3449478,2,198
5688891,1742,2,191
2061,2547,2,104
2367,4036886,2,190
1735,4890496,2,216
1733,5289104,2,221
2367,4036887,2,241
1735,4890495,2,216
1735,4890600,2,216
1953,3740295,2,246
5018385,1975,2,247
1964,5454906,2,278
1964,5454905,2,267
3764757,2363,2,228
1964,5454904,2,267
1964,5289096,2,200
1953,4211806,2,193
1953,4211807,2,193
2212,3666619,2,243
2219,5454895,2,254
2219,5454894,2,282
4473141,1735,2,54
3812975,2363,2,190
2040,3764673,2,277
2312,5289157,2,145
5682064,2413,2,208
5688905,1957,2,282
2185,5138047,2,279
2185,5138048,2,197
4473146,1692,2,192
2472,5289158,2,215
1957,4036859,2,282
2219,3764845,2,248
5710003,2420,2,204
1764,3764647,2,203
2502,5138189,2,256
2502,5138188,2,230
3812928,2411,2,220
1733,3813063,2,220
3926163,2420,2,199
2525,5138046,2,261
3807569,1677,2,194
1733,3813062,2,229
2208,3740295,2,246
2413,5122015,2,225
2208,3740294,2,187
2413,5122016,2,220
3807631,2034,2,206
3764699,2040,2,195
4739200,1729,2,201
3812976,1824,2,208
2110,5018147,2,212
2466,4037038,2,285
1953,3764607,2,200
1668,4036851,2,262
3807582,1721,2,260
1721,3813064,2,285
2472,3764814,2,202
1953,3764608,2,225
2110,5018146,2,229
2487,3764648,2,270
1668,4036850,2,206
1964,4016265,2,208
1964,4016266,2,208
4036295,2219,2,241
1964,4016267,2,218
1964,4016268,2,254
2208,3764653,2,200
1964,3764811,2,243
1964,3764812,2,218
3807567,2153,2,283
5137967,1735,2,208
1957,5018143,2,282
1692,5138045,2,230
2061,5018146,2,229
2472,4036872,2,202
2061,5018147,2,212
2535,5770811,2,250
2487,3764656,2,246
1957,1910,2,420
2040,5138198,2,277
1729,5289158,2,215
1824,4472995,2,216
2535,5770810,2,267
1824,4472994,2,252
1824,4472993,2,252
5018395,1677,2,246
1824,4472992,2,251
1828,4770167,2,241
1828,4770168,2,190
1828,4770169,2,278
2375,2374,2,79
2153,4036864,2,283
2482,1729,2,180
2230,4770185,2,268
5018338,1964,2,241
2322,1967,2,150
1975,4651133,2,247
2230,4770180,2,247
5709977,1975,2,268
1655,5018151,2,225
1655,5018150,2,245
2413,5138201,2,26
2413,5138202,2,54
2525,4036882,2,187
2525,4036881,2,247
2442,5289106,2,279
3807563,2212,2,243
4037788,1964,2,248
5761443,1953,2,207
2153,3764649,2,206
2040,3764634,2,261
2413,5138203,2,235
2040,3764632,2,277
1764,4037045,2,203
5710035,2219,2,223
2159,5138050,2,277
2259,3747876,2,216
5727628,1964,2,218
2208,3764607,2,200
1964,3442416,2,212
1729,4651132,2,215
1964,3442415,2,212
2208,3764608,2,225
2413,4890496,2,216
2208,3666621,2,203
2413,4890495,2,216
2208,3666620,2,198
3807585,2411,2,229
2374,3764647,2,203
5710038,1964,2,254
1735,3781622,2,207
1735,3781623,2,207
1964,3695557,2,278
1957,3740297,2,282
1934,3747876,2,216
1953,3666561,2,198
5018394,2034,2,283
2159,4472980,2,261
2185,4378105,2,208
2125,2208,2,99
4037297,2363,2,251
1764,4726927,2,210
5761983,1957,2,198
2363,1826,2,108
2363,1825,2,367
2363,1827,2,311
2153,3764655,2,283
3764750,2159,2,261
5688898,1655,2,245
2367,5138049,2,190
3747905,1957,2,245
2159,4472999,2,277
1964,3764845,2,248
5710035,1964,2,223
2413,3757954,2,225
2363,5289150,2,216
1845,3687472,2,226
2413,3757955,2,225
2363,5289151,2,288
5682060,2219,2,238
3764751,2040,2,197
2413,3781623,2,207
4037270,1953,2,246
2413,3781622,2,207
1964,2221,2,248
1964,2220,2,600
2472,3764663,2,202
1996,5138047,2,279
1996,5138048,2,197
5710002,1742,2,206
4037252,1824,2,213
1735,3764854,2,225
2153,3764610,2,283
2126,2212,2,151
4037788,2219,2,248
1735,3764855,2,225
4009621,1731,2,232
2219,4037198,2,242
2219,4037199,2,248
1672,1729,2,180
2187,1996,2,144
1824,5122006,2,241
1824,5122008,2,233
1824,5122007,2,254
4028973,5161413,2,207
1953,4035815,2,187
1953,3740501,2,199
2219,4037197,2,198
4036296,1964,2,237
1953,4035816,2,187
1953,3740502,2,203
4028973,5161412,2,315
4726709,2466,2,206
2219,4037196,2,208
2185,4770192,2,212
5761444,1953,2,226
4473147,1824,2,251
5710022,2061,2,212
5688907,1953,2,200
2219,4036869,2,199
1655,4036853,2,245
1655,4036852,2,225
2212,1910,2,420
1964,4036986,2,258
1964,4036985,2,200
5018338,2219,2,241
3764756,2363,2,666
1953,3666724,2,198
1953,3666725,2,203
2487,4037046,2,270
1764,4036931,2,203
3764695,2413,2,90
2472,3764843,2,215
5018386,1964,2,216
3812929,2411,2,229
2472,3764643,2,215
2034,4036864,2,283
3926164,1742,2,230
2219,3764548,2,254
3812927,2312,2,226
2040,4036888,2,277
2363,4045009,2,288
2363,4045008,2,213
2363,4045007,2,225
2363,4045006,2,251
1733,3926196,2,237
1733,3926195,2,197
3812918,1964,2,230
2040,4036890,2,261
3764486,1996,2,207
1731,5289106,2,279
1735,5121400,2,26
1655,4211798,2,245
1735,5121401,2,54
1655,4211797,2,225
1964,2036,2,89
1735,5121402,2,208
5018399,2219,2,241
2230,3764844,2,247
2230,3687427,2,247
4037253,2502,2,191
1845,3687425,2,129
1845,3687424,2,127
3807565,1953,2,225
2487,2488,2,90
3813039,2363,2,213
1964,4651134,2,243
5761441,2212,2,243
4009618,1824,2,216
2159,4036890,2,261
1996,3764629,2,212
3747909,2208,2,195
1845,3813066,2,145
2533,1845,2,105
2034,4037047,2,206
3765209,2411,2,211
1845,3813067,2,209
2466,3748041,2,197
1729,4036872,2,202
3764694,2413,2,38
2466,3748042,2,197
2219,4016267,2,218
1677,4036981,2,246
5761442,2208,2,200
2152,4211799,2,232
1764,5289163,2,203
4009619,1824,2,288
2219,4016268,2,254
2208,4035562,2,225
2219,4016265,2,208
2208,4035561,2,207
1731,3926191,2,232
2219,4016266,2,208
1731,3926192,2,279
2525,2409,2,90
4016692,2420,2,199
5682053,1735,2,54
2208,4045034,2,203
3807561,2212,2,270
1975,4036928,2,247
1655,2279,2,187
2159,4036888,2,277
2208,5018140,2,193
3741052,1957,2,207
2472,3764619,2,202
5710080,2110,2,212
3807582,2466,2,260
4016691,1742,2,230
2208,5018141,2,194
2535,1883,2,172
2159,5138200,2,261
1735,3763974,2,216
1735,3763975,2,216
3765249,2466,2,184
1824,4045007,2,225
1824,4045006,2,251
1824,4045009,2,288
1742,4211793,2,204
1824,4045008,2,213
3764711,1824,2,223
1742,4211794,2,206
1958,2212,2,124
5727702,2219,2,243
2312,3813066,2,145
3807569,2487,2,194
4473149,1824,2,225
2219,4036870,2,258
2367,3764672,2,190
3749769,2212,2,198
2535,4211798,2,245
2535,4211797,2,225
1735,5370720,2,220
2413,5325169,2,192
1953,3666772,2,198
5688900,2033,2,214
1735,5138053,2,235
1735,5138052,2,26
1964,4036767,2,242
1964,4036769,2,282
4016691,2420,2,230
1964,4036768,2,216
2110,2547,2,91
2502,4045005,2,192
2219,3764512,2,278
2219,3764511,2,282
2219,3764510,2,242
2413,5325170,2,214
2363,3926190,2,280
3764710,2363,2,228
5682061,1964,2,238
2034,3764655,2,283
2259,3747824,2,224
4009621,2442,2,232
1953,4045034,2,203
1828,4036886,2,190
2219,1966,2,271
1828,4036887,2,241
2487,1678,2,119
1964,3926388,2,278
1964,3926387,2,242
3812928,1733,2,220
1964,3926389,2,275
2363,3926189,2,288
2363,3926188,2,213
1677,4036932,2,270
2363,3926187,2,254
2230,3764662,2,268
3764784,1824,2,238
1975,3687470,2,268
4009622,2442,2,279
1677,3764656,2,246
2219,5289160,2,237
2230,3687470,2,268
2219,1965,2,600
5688892,2420,2,209
1996,3764671,2,212
2033,5018148,2,214
2033,5018149,2,232
2363,3926186,2,241
2413,4890600,2,216
1824,4473028,2,254
1824,4473027,2,235
1957,4211804,2,282
1845,3748045,2,209
1824,4473029,2,229
2219,2036,2,104
1845,3748044,2,145
2413,3442545,2,192
5138024,1735,2,220
2413,3442544,2,192
2487,3764611,2,246
3813040,1692,2,191
5138024,2413,2,220
3716935,2472,2,201
2040,3893504,2,222
2040,3893505,2,229
4037785,2219,2,243
2212,3749677,2,198
