route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
1404015,2025566,10020255660942699,101,101,0,
1404015,2025567,10020255670942699,101,101,0,
1404015,2025568,10020255680942699,101,101,0,
1404015,2025576,10020255760942699,101,101,0,
1404015,2025578,10020255780942699,101,101,0,
1404015,2025583,10020255830942699,101,101,0,
1404015,2025585,10020255850942699,101,101,0,
1404015,2045977,10020459770942699,101,101,0,
1404015,2045978,10020459780942699,101,101,0,
1404015,2045979,10020459790942699,101,101,0,
1404015,2045980,10020459800942699,101,101,0,
1404015,2045981,10020459810942699,101,101,0,
1404015,2025566,10120255660942699,101,101,0,
1404015,2025567,10120255670942699,101,101,0,
1404015,2025568,10120255680942699,101,101,0,
1404015,2025576,10120255760942699,101,101,0,
1404015,2025578,10120255780942699,101,101,0,
1404015,2025583,10120255830942699,101,101,0,
1404015,2025585,10120255850942699,101,101,0,
1404015,2045977,10120459770942699,101,101,0,
1404015,2045978,10120459780942699,101,101,0,
1404015,2045979,10120459790942699,101,101,0,
1404015,2045980,10120459800942699,101,101,0,
1404015,2045981,10120459810942699,101,101,0,
1404015,2025566,1020255660942699,101,101,0,
1404015,2025567,1020255670942699,101,101,0,
1404015,2025568,1020255680942699,101,101,0,
1404015,2025576,1020255760942699,101,101,0,
1404015,2025578,1020255780942699,101,101,0,
1404015,2025583,1020255830942699,101,101,0,
1404015,2025585,1020255850942699,101,101,0,
1404015,2045977,1020459770942699,101,101,0,
1404015,2045978,1020459780942699,101,101,0,
1404015,2045979,1020459790942699,101,101,0,
1404015,2045980,1020459800942699,101,101,0,
1404015,2045981,1020459810942699,101,101,0,
1404015,2025566,10220255660942699,101,101,0,
1404015,2025567,10220255670942699,101,101,0,
1404015,2025568,10220255680942699,101,101,0,
1404015,2025576,10220255760942699,101,101,0,
1404015,2025578,10220255780942699,101,101,0,
1404015,2025583,10220255830942699,101,101,0,
1404015,2025585,10220255850942699,101,101,0,
1404015,2045977,10220459770942699,101,101,0,
1404015,2045978,10220459780942699,101,101,0,
1404015,2045979,10220459790942699,101,101,0,
1404015,2045980,10220459800942699,101,101,0,
1404015,2045981,10220459810942699,101,101,0,
1404015,2025566,10320255660942699,101,101,0,
1404015,2025567,10320255670942699,101,101,0,
1404015,2025568,10320255680942699,101,101,0,
1404015,2025576,10320255760942699,101,101,0,
1404015,2025578,10320255780942699,101,101,0,
1404015,2025583,10320255830942699,101,101,0,
1404015,2025585,10320255850942699,101,101,0,
1404015,2045977,10320459770942699,101,101,0,
1404015,2045978,10320459780942699,101,101,0,
1404015,2045979,10320459790942699,101,101,0,
1404015,2045980,10320459800942699,101,101,0,
1404015,2045981,10320459810942699,101,101,0,
1404015,2025566,10420255660942699,101,101,0,
1404015,2025567,10420255670942699,101,101,0,
1404015,2025568,10420255680942699,101,101,0,
1404015,2025576,10420255760942699,101,101,0,
1404015,2025578,10420255780942699,101,101,0,
1404015,2025583,10420255830942699,101,101,0,
1404015,2025585,10420255850942699,101,101,0,
1404015,2045977,10420459770942699,101,101,0,
1404015,2045978,10420459780942699,101,101,0,
1404015,2045979,10420459790942699,101,101,0,
1404015,2045980,10420459800942699,101,101,0,
1404015,2045981,10420459810942699,101,101,0,
1404015,2025566,10520255660942699,101,101,0,
1404015,2025567,10520255670942699,101,101,0,
1404015,2025568,10520255680942699,101,101,0,
1404015,2025576,10520255760942699,101,101,0,
1404015,2025578,10520255780942699,101,101,0,
1404015,2025583,10520255830942699,101,101,0,
1404015,2025585,10520255850942699,101,101,0,
1404015,2045977,10520459770942699,101,101,0,
1404015,2045978,10520459780942699,101,101,0,
1404015,2045979,10520459790942699,101,101,0,
1404015,2045980,10520459800942699,101,101,0,
1404015,2045981,10520459810942699,101,101,0,
1404015,2025566,10620255660942699,101,101,0,
1404015,2025567,10620255670942699,101,101,0,
1404015,2025568,10620255680942699,101,101,0,
1404015,2025576,10620255760942699,101,101,0,
1404015,2025578,10620255780942699,101,101,0,
1404015,2025583,10620255830942699,101,101,0,
1404015,2025585,10620255850942699,101,101,0,
1404015,2045977,10620459770942699,101,101,0,
1404015,2045978,10620459780942699,101,101,0,
1404015,2045979,10620459790942699,101,101,0,
1404015,2045980,10620459800942699,101,101,0,
1404015,2045981,10620459810942699,101,101,0,
1404015,2025566,10720255660942699,101,101,0,
1404015,2025567,10720255670942699,101,101,0,
1404015,2025568,10720255680942699,101,101,0,
1404015,2025576,10720255760942699,101,101,0,
1404015,2025578,10720255780942699,101,101,0,
1404015,2025583,10720255830942699,101,101,0,
1404015,2025585,10720255850942699,101,101,0,
1404015,2045977,10720459770942699,101,101,0,
1404015,2045978,10720459780942699,101,101,0,
1404015,2045979,10720459790942699,101,101,0,
1404015,2045980,10720459800942699,101,101,0,
1404015,2045981,10720459810942699,101,101,0,
1404015,2025566,10820255660942699,101,101,0,
1404015,2025567,10820255670942699,101,101,0,
1404015,2025568,10820255680942699,101,101,0,
1404015,2025576,10820255760942699,101,101,0,
1404015,2025578,10820255780942699,101,101,0,
1404015,2025583,10820255830942699,101,101,0,
1404015,2025585,10820255850942699,101,101,0,
1404015,2045977,10820459770942699,101,101,0,
1404015,2045978,10820459780942699,101,101,0,
1404015,2045979,10820459790942699,101,101,0,
1404015,2045980,10820459800942699,101,101,0,
1404015,2045981,10820459810942699,101,101,0,
1404015,2025566,10920255660942699,101,101,0,
1404015,2025567,10920255670942699,101,101,0,
1404015,2025568,10920255680942699,101,101,0,
1404015,2025576,10920255760942699,101,101,0,
1404015,2025578,10920255780942699,101,101,0,
1404015,2025583,10920255830942699,101,101,0,
1404015,2025585,10920255850942699,101,101,0,
1404015,2045977,10920459770942699,101,101,0,
1404015,2045978,10920459780942699,101,101,0,
1404015,2045979,10920459790942699,101,101,0,
1404015,2045980,10920459800942699,101,101,0,
1404015,2045981,10920459810942699,101,101,0,
1404015,2025566,11020255660942699,101,101,0,
1404015,2025567,11020255670942699,101,101,0,
1404015,2025568,11020255680942699,101,101,0,
1404015,2025576,11020255760942699,101,101,0,
1404015,2025578,11020255780942699,101,101,0,
1404015,2025583,11020255830942699,101,101,0,
1404015,2025585,11020255850942699,101,101,0,
1404015,2045977,11020459770942699,101,101,0,
1404015,2045978,11020459780942699,101,101,0,
1404015,2045979,11020459790942699,101,101,0,
1404015,2045980,11020459800942699,101,101,0,
1404015,2045981,11020459810942699,101,101,0,
1404015,2025566,11120255660942699,101,101,0,
1404015,2025567,11120255670942699,101,101,0,
1404015,2025568,11120255680942699,101,101,0,
1404015,2025576,11120255760942699,101,101,0,
1404015,2025578,11120255780942699,101,101,0,
1404015,2025583,11120255830942699,101,101,0,
1404015,2025585,11120255850942699,101,101,0,
1404015,2045977,11120459770942699,101,101,0,
1404015,2045978,11120459780942699,101,101,0,
1404015,2045979,11120459790942699,101,101,0,
1404015,2045980,11120459800942699,101,101,0,
