service_id,date,exception_type
2045977,20160228,1
2045977,20160306,1
12045979,20160423,1
12045979,20160430,1
12045979,20160505,1
12045979,20160514,1
12045979,20160521,1
12045979,20160528,1
12045979,20160604,1
12045979,20160611,1
12045979,20160618,1
12045979,20160625,1
2025576,20160418,1
2025576,20160419,1
2025576,20160420,1
2025576,20160421,1
2025576,20160425,1
2025576,20160426,1
2025576,20160427,1
2025576,20160428,1
2025576,20160502,1
2025576,20160503,1
2025576,20160509,1
2025576,20160510,1
2025576,20160511,1
2025576,20160512,1
2025576,20160517,1
2025576,20160518,1
2025576,20160519,1
2025576,20160523,1
2025576,20160524,1
2025576,20160525,1
2025576,20160526,1
2025576,20160530,1
2025576,20160531,1
2025576,20160601,1
2025576,20160602,1
2025576,20160606,1
2025576,20160607,1
2025576,20160608,1
2025576,20160609,1
2025576,20160613,1
2025576,20160614,1
2025576,20160615,1
2025576,20160616,1
2025576,20160620,1
2025576,20160621,1
2025576,20160622,1
2025576,20160623,1
2025576,20160627,1
2025576,20160628,1
2025576,20160629,1
2025576,20160630,1
12045978,20160223,1
12045978,20160224,1
12045978,20160225,1
12045978,20160226,1
12045978,20160301,1
12045978,20160302,1
12045978,20160303,1
12045978,20160304,1
12045977,20160229,1
12045977,20160307,1
2025578,20160127,1
2025578,20160128,1
2025578,20160201,1
2025578,20160202,1
2025578,20160203,1
2025578,20160204,1
2025578,20160208,1
2025578,20160209,1
2025578,20160210,1
2025578,20160211,1
2025578,20160215,1
2025578,20160216,1
2025578,20160217,1
2025578,20160218,1
2025578,20160307,1
2025578,20160308,1
2025578,20160309,1
2025578,20160310,1
2025578,20160314,1
2025578,20160315,1
2025578,20160316,1
2025578,20160317,1
2025578,20160321,1
2025578,20160322,1
2025578,20160323,1
2025578,20160324,1
2025578,20160329,1
2025578,20160330,1
2025578,20160331,1
2025578,20160404,1
2025578,20160405,1
2025578,20160406,1
2025578,20160407,1
12025578,20160128,1
12025578,20160129,1
12025578,20160202,1
12025578,20160203,1
12025578,20160204,1
12025578,20160205,1
12025578,20160209,1
12025578,20160210,1
12025578,20160211,1
12025578,20160212,1
12025578,20160216,1
12025578,20160217,1
12025578,20160218,1
12025578,20160219,1
12025578,20160308,1
12025578,20160309,1
12025578,20160310,1
12025578,20160311,1
12025578,20160315,1
12025578,20160316,1
12025578,20160317,1
12025578,20160318,1
12025578,20160322,1
12025578,20160323,1
12025578,20160324,1
12025578,20160325,1
12025578,20160330,1
12025578,20160331,1
12025578,20160401,1
12025578,20160405,1
12025578,20160406,1
12025578,20160407,1
12025578,20160408,1
12025583,20160131,1
12025583,20160207,1
12025583,20160214,1
12025583,20160221,1
12025583,20160313,1
12025583,20160320,1
12025583,20160327,1
12025583,20160403,1
12025583,20160410,1
2045981,20160227,1
2045981,20160305,1
12025585,20160130,1
12025585,20160206,1
12025585,20160213,1
12025585,20160220,1
12025585,20160312,1
12025585,20160319,1
12025585,20160326,1
12025585,20160402,1
12025585,20160409,1
12025576,20160419,1
12025576,20160420,1
12025576,20160421,1
12025576,20160422,1
12025576,20160426,1
12025576,20160427,1
12025576,20160428,1
12025576,20160429,1
12025576,20160503,1
12025576,20160504,1
12025576,20160510,1
12025576,20160511,1
12025576,20160512,1
12025576,20160513,1
12025576,20160518,1
12025576,20160519,1
12025576,20160520,1
12025576,20160524,1
12025576,20160525,1
12025576,20160526,1
12025576,20160527,1
12025576,20160531,1
12025576,20160601,1
12025576,20160602,1
12025576,20160603,1
12025576,20160607,1
12025576,20160608,1
12025576,20160609,1
12025576,20160610,1
12025576,20160614,1
12025576,20160615,1
12025576,20160616,1
12025576,20160617,1
12025576,20160621,1
12025576,20160622,1
12025576,20160623,1
12025576,20160624,1
12025576,20160628,1
12025576,20160629,1
12025576,20160630,1
12025576,20160701,1
12025567,20160201,1
12025567,20160208,1
12025567,20160215,1
12025567,20160222,1
12025567,20160314,1
12025567,20160321,1
12025567,20160329,1
12025567,20160404,1
12025566,20160606,1
12025566,20160613,1
12025566,20160620,1
12025566,20160627,1
12025566,20160704,1
12025566,20160711,1
12025566,20160718,1
12025566,20160725,1
12025568,20160328,1
12025568,20160516,1
12045981,20160228,1
12045981,20160306,1
12045980,20160227,1
12045980,20160305,1
2045979,20160422,1
2045979,20160429,1
2045979,20160504,1
2045979,20160513,1
2045979,20160520,1
2045979,20160527,1
2045979,20160603,1
2045979,20160610,1
2045979,20160617,1
2045979,20160624,1
2045978,20160222,1
2045978,20160223,1
2045978,20160224,1
2045978,20160225,1
2045978,20160229,1
2045978,20160301,1
2045978,20160302,1
2045978,20160303,1
2025566,20160605,1
2025566,20160612,1
2025566,20160619,1
2025566,20160626,1
2025566,20160703,1
2025566,20160710,1
2025566,20160717,1
2025566,20160724,1
2025567,20160131,1
2025567,20160207,1
2025567,20160214,1
2025567,20160221,1
2025567,20160313,1
2025567,20160320,1
2025567,20160328,1
2025567,20160403,1
2025568,20160327,1
2025568,20160515,1
2045980,20160226,1
2045980,20160304,1
2025583,20160130,1
2025583,20160206,1
2025583,20160213,1
2025583,20160220,1
2025583,20160312,1
2025583,20160319,1
2025583,20160326,1
2025583,20160402,1
2025583,20160409,1
2025585,20160129,1
2025585,20160205,1
2025585,20160212,1
2025585,20160219,1
2025585,20160311,1
2025585,20160318,1
2025585,20160325,1
2025585,20160401,1
2025585,20160408,1
