service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2045977,0,0,0,0,0,0,0,20160228,20160306
12045979,0,0,0,0,0,0,0,20160423,20160625
2025576,0,0,0,0,0,0,0,20160418,20160630
12045978,0,0,0,0,0,0,0,20160223,20160304
12045977,0,0,0,0,0,0,0,20160229,20160307
2025578,0,0,0,0,0,0,0,20160127,20160407
12025578,0,0,0,0,0,0,0,20160128,20160408
12025583,0,0,0,0,0,0,0,20160131,20160410
2045981,0,0,0,0,0,0,0,20160227,20160305
12025585,0,0,0,0,0,0,0,20160130,20160409
12025576,0,0,0,0,0,0,0,20160419,20160701
12025567,0,0,0,0,0,0,0,20160201,20160404
12025566,0,0,0,0,0,0,0,20160606,20160725
12025568,0,0,0,0,0,0,0,20160328,20160516
12045981,0,0,0,0,0,0,0,20160228,20160306
12045980,0,0,0,0,0,0,0,20160227,20160305
2045979,0,0,0,0,0,0,0,20160422,20160624
2045978,0,0,0,0,0,0,0,20160222,20160303
2025566,0,0,0,0,0,0,0,20160605,20160724
2025567,0,0,0,0,0,0,0,20160131,20160403
2025568,0,0,0,0,0,0,0,20160327,20160515
2045980,0,0,0,0,0,0,0,20160226,20160304
2025583,0,0,0,0,0,0,0,20160130,20160409
2025585,0,0,0,0,0,0,0,20160129,20160408
