service_id,date,exception_type
12025587,20160201,1
12025587,20160208,1
12025587,20160215,1
12025587,20160222,1
12025587,20160229,1
12025587,20160307,1
12025587,20160314,1
12025587,20160321,1
12025587,20160329,1
12025587,20160404,1
12025587,20160411,1
12025587,20160418,1
12025587,20160425,1
12025587,20160502,1
12025587,20160506,1
12025587,20160509,1
12025587,20160517,1
12025587,20160523,1
12025587,20160530,1
2025589,20160327,1
2025589,20160515,1
12025586,20160606,1
12025586,20160613,1
12025586,20160620,1
12025586,20160627,1
12025586,20160704,1
12025586,20160711,1
12025586,20160718,1
12025586,20160725,1
2025588,20160714,1
12025589,20160328,1
12025589,20160516,1
2025587,20160131,1
2025587,20160207,1
2025587,20160214,1
2025587,20160221,1
2025587,20160228,1
2025587,20160306,1
2025587,20160313,1
2025587,20160320,1
2025587,20160328,1
2025587,20160403,1
2025587,20160410,1
2025587,20160417,1
2025587,20160424,1
2025587,20160501,1
2025587,20160505,1
2025587,20160508,1
2025587,20160516,1
2025587,20160522,1
2025587,20160529,1
12025588,20160715,1
2025592,20160127,1
2025592,20160128,1
2025592,20160201,1
2025592,20160202,1
2025592,20160203,1
2025592,20160204,1
2025592,20160208,1
2025592,20160209,1
2025592,20160210,1
2025592,20160211,1
2025592,20160215,1
2025592,20160216,1
2025592,20160217,1
2025592,20160218,1
2025592,20160307,1
2025592,20160308,1
2025592,20160309,1
2025592,20160310,1
2025592,20160314,1
2025592,20160315,1
2025592,20160316,1
2025592,20160317,1
2025592,20160321,1
2025592,20160322,1
2025592,20160323,1
2025592,20160324,1
2025592,20160329,1
2025592,20160330,1
2025592,20160331,1
2025592,20160404,1
2025592,20160405,1
2025592,20160406,1
2025592,20160407,1
2025592,20160411,1
2025592,20160412,1
2025592,20160413,1
2025592,20160414,1
2025592,20160502,1
2025592,20160503,1
2025592,20160509,1
2025592,20160510,1
2025592,20160511,1
2025592,20160512,1
2025592,20160517,1
2025592,20160518,1
2025592,20160519,1
2025592,20160523,1
2025592,20160524,1
2025592,20160525,1
2025592,20160526,1
2025592,20160530,1
2025592,20160531,1
2025593,20160222,1
2025593,20160223,1
2025593,20160224,1
2025593,20160225,1
2025593,20160229,1
2025593,20160301,1
2025593,20160302,1
2025593,20160303,1
2025593,20160418,1
2025593,20160419,1
2025593,20160420,1
2025593,20160421,1
2025593,20160425,1
2025593,20160426,1
2025593,20160427,1
2025593,20160428,1
2025593,20160601,1
2025593,20160602,1
2025593,20160606,1
2025593,20160607,1
2025593,20160608,1
2025593,20160609,1
2025593,20160613,1
2025593,20160614,1
2025593,20160615,1
2025593,20160616,1
2025593,20160620,1
2025593,20160621,1
2025593,20160622,1
2025593,20160623,1
2025593,20160627,1
2025593,20160628,1
2025593,20160629,1
2025593,20160630,1
2025590,20160704,1
2025590,20160705,1
2025590,20160706,1
2025590,20160707,1
2025590,20160711,1
2025590,20160712,1
2025590,20160718,1
2025590,20160719,1
2025590,20160720,1
2025590,20160721,1
2025590,20160725,1
2025596,20160129,1
2025596,20160205,1
2025596,20160212,1
2025596,20160219,1
2025596,20160311,1
2025596,20160318,1
2025596,20160325,1
2025596,20160401,1
2025596,20160408,1
2025596,20160415,1
2025596,20160504,1
2025596,20160513,1
2025596,20160520,1
2025596,20160527,1
2025597,20160715,1
2025594,20160604,1
2025594,20160611,1
2025594,20160618,1
2025594,20160625,1
2025594,20160702,1
2025594,20160709,1
2025594,20160716,1
2025594,20160723,1
2025595,20160130,1
2025595,20160206,1
2025595,20160213,1
2025595,20160220,1
2025595,20160227,1
2025595,20160305,1
2025595,20160312,1
2025595,20160319,1
2025595,20160326,1
2025595,20160402,1
2025595,20160409,1
2025595,20160416,1
2025595,20160423,1
2025595,20160430,1
2025595,20160507,1
2025595,20160514,1
2025595,20160521,1
2025595,20160528,1
12025599,20160507,1
12025599,20160702,1
12025599,20160709,1
12025599,20160714,1
12025599,20160723,1
12025598,20160227,1
12025598,20160305,1
12025598,20160423,1
12025598,20160430,1
12025598,20160604,1
12025598,20160611,1
12025598,20160618,1
12025598,20160625,1
12025597,20160716,1
12025596,20160130,1
12025596,20160206,1
12025596,20160213,1
12025596,20160220,1
12025596,20160312,1
12025596,20160319,1
12025596,20160326,1
12025596,20160402,1
12025596,20160409,1
12025596,20160416,1
12025596,20160505,1
12025596,20160514,1
12025596,20160521,1
12025596,20160528,1
2025599,20160506,1
2025599,20160701,1
2025599,20160708,1
2025599,20160713,1
2025599,20160722,1
2025598,20160226,1
2025598,20160304,1
2025598,20160422,1
2025598,20160429,1
2025598,20160603,1
2025598,20160610,1
2025598,20160617,1
2025598,20160624,1
12025595,20160131,1
12025595,20160207,1
12025595,20160214,1
12025595,20160221,1
12025595,20160228,1
12025595,20160306,1
12025595,20160313,1
12025595,20160320,1
12025595,20160327,1
12025595,20160403,1
12025595,20160410,1
12025595,20160417,1
12025595,20160424,1
12025595,20160501,1
12025595,20160508,1
12025595,20160515,1
12025595,20160522,1
12025595,20160529,1
12025594,20160605,1
12025594,20160612,1
12025594,20160619,1
12025594,20160626,1
12025594,20160703,1
12025594,20160710,1
12025594,20160717,1
12025594,20160724,1
12025593,20160223,1
12025593,20160224,1
12025593,20160225,1
12025593,20160226,1
12025593,20160301,1
12025593,20160302,1
12025593,20160303,1
12025593,20160304,1
12025593,20160419,1
12025593,20160420,1
12025593,20160421,1
12025593,20160422,1
12025593,20160426,1
12025593,20160427,1
12025593,20160428,1
12025593,20160429,1
12025593,20160602,1
12025593,20160603,1
12025593,20160607,1
12025593,20160608,1
12025593,20160609,1
12025593,20160610,1
12025593,20160614,1
12025593,20160615,1
12025593,20160616,1
12025593,20160617,1
12025593,20160621,1
12025593,20160622,1
12025593,20160623,1
12025593,20160624,1
12025593,20160628,1
12025593,20160629,1
12025593,20160630,1
12025593,20160701,1
12025592,20160128,1
12025592,20160129,1
12025592,20160202,1
12025592,20160203,1
12025592,20160204,1
12025592,20160205,1
12025592,20160209,1
12025592,20160210,1
12025592,20160211,1
12025592,20160212,1
12025592,20160216,1
12025592,20160217,1
12025592,20160218,1
12025592,20160219,1
12025592,20160308,1
12025592,20160309,1
12025592,20160310,1
12025592,20160311,1
12025592,20160315,1
12025592,20160316,1
12025592,20160317,1
12025592,20160318,1
12025592,20160322,1
12025592,20160323,1
12025592,20160324,1
12025592,20160325,1
12025592,20160330,1
12025592,20160331,1
12025592,20160401,1
12025592,20160405,1
12025592,20160406,1
12025592,20160407,1
12025592,20160408,1
12025592,20160412,1
12025592,20160413,1
12025592,20160414,1
12025592,20160415,1
12025592,20160503,1
12025592,20160504,1
12025592,20160510,1
12025592,20160511,1
12025592,20160512,1
12025592,20160513,1
12025592,20160518,1
12025592,20160519,1
12025592,20160520,1
12025592,20160524,1
12025592,20160525,1
12025592,20160526,1
12025592,20160527,1
12025592,20160531,1
12025592,20160601,1
12025590,20160705,1
12025590,20160706,1
12025590,20160707,1
12025590,20160708,1
12025590,20160712,1
12025590,20160713,1
12025590,20160719,1
12025590,20160720,1
12025590,20160721,1
